pc_timestamp,sample_index,raw_value
1100732,0,5852
1101732,1,6810
1102732,2,5259
1103728,3,3382
1104728,4,1772
1105728,5,3655
1106728,6,4803
1107728,7,5111
1108728,8,6542
1109732,9,6736
1110728,10,4426
1111732,11,2825
1112728,12,2874
1113728,13,1000
1114732,14,-134
1115732,15,1655
1116728,16,6053
1117728,17,11880
1118728,18,9000
1119728,19,3792
1120728,20,-1854
1121728,21,-386
1122728,22,3682
1123728,23,4582
1124732,24,5786
1125728,25,9698
1126728,26,10618
1127732,27,5535
1128728,28,86
1129732,29,-3901
1130728,30,-1879
1131732,31,2909
1132728,32,6767
1133732,33,8423
1134728,34,5393
1135728,35,4612
1136732,36,6372
1137732,37,3151
1138728,38,383
1139728,39,6930
1140728,40,7079
1141732,41,5654
1142728,42,5517
1143728,43,3359
1144732,44,1933
1145728,45,-616
1146728,46,2328
1147728,47,5097
1148732,48,6145
1149732,49,6787
1150728,50,6172
1151728,51,5194
1152732,52,2388
1153728,53,1210
1154732,54,1585
1155728,55,3970
1156732,56,5681
1157732,57,5939
1158728,58,5296
1159728,59,4944
1160732,60,3728
1161732,61,1629
1162728,62,2128
1163732,63,3442
1164728,64,6574
1165728,65,7748
1166728,66,5073
1167728,67,1913
1168728,68,-401
1169728,69,1563
1170728,70,5194
1171728,71,8317
1172728,72,8125
1173732,73,5193
1174732,74,1566
1175728,75,442
1176728,76,1768
1177728,77,5228
1178732,78,7218
1179728,79,7250
1180728,80,5199
1181728,81,3132
1182732,82,1694
1183732,83,1225
1184732,84,1949
1185732,85,2252
1186728,86,2782
1187728,87,6182
1188728,88,10831
1189728,89,9318
1190728,90,3883
1191728,91,571
1192728,92,667
1193728,93,-756
1194732,94,1171
1195728,95,5846
1196728,96,8168
1197732,97,8719
1198732,98,9773
1199728,99,3722
1200728,100,883
1201728,101,-3985
1202728,102,-4491
1203728,103,2286
1204728,104,10833
1205728,105,13285
1206728,106,11088
1207732,107,4429
1208728,108,-1421
1209732,109,-2991
1210728,110,-1073
1211728,111,537
1212728,112,4141
1213732,113,10375
1214728,114,11751
1215728,115,10923
1216732,116,7186
1217728,117,1378
1218732,118,-2745
1219728,119,-5181
1220732,120,-2640
1221728,121,3892
1222732,122,9660
1223728,123,11583
1224728,124,11443
1225736,125,8028
1226728,126,856
1227728,127,-3989
1228732,128,-1117
1229732,129,4675
1230728,130,6402
1231732,131,8600
1232728,132,7895
1233728,133,5772
1234732,134,543
1235732,135,-1650
1236728,136,-2499
1237732,137,315
1238732,138,6681
1239728,139,13251
1240732,140,13912
1241728,141,6687
1242728,142,1242
1243732,143,-1561
1244728,144,-3658
1245732,145,697
1246732,146,5849
1247732,147,9308
