pc_timestamp,sample_index,raw_value
1100732,0,1678
1101732,1,4213
1102728,2,5456
1103728,3,8484
1104732,4,8813
1105728,5,6384
1106728,6,4320
1107732,7,2271
1108728,8,-1794
1109732,9,-5091
1110732,10,-244
1111732,11,8680
1112728,12,12748
1113732,13,11604
1114732,14,5065
1115732,15,-254
1116732,16,-2805
1117728,17,358
1118728,18,6048
1119728,19,8613
1120732,20,9362
1121728,21,7103
1122728,22,2710
1123728,23,-295
1124728,24,-791
1125728,25,2643
1126728,26,4196
1127732,27,6679
1128728,28,6975
1129732,29,4847
1130728,30,2066
1131728,31,3809
1132728,32,5909
1133732,33,4695
1134728,34,3464
1135728,35,2504
1136732,36,3140
1137728,37,2728
1138728,38,4191
1139728,39,7651
1140728,40,10556
1141728,41,8802
1142728,42,3673
1143728,43,-3667
1144728,44,-3277
1145732,45,1541
1146728,46,7249
1147728,47,7985
1148732,48,10614
1149732,49,10233
1150728,50,9646
1151732,51,2097
1152732,52,-3167
1153728,53,-3469
1154732,54,-1250
1155728,55,6888
1156732,56,8722
1157728,57,10698
1158728,58,10062
1159728,59,7966
1160728,60,3119
1161732,61,-3484
1162728,62,-6098
1163732,63,777
1164732,64,2316
1165728,65,7523
1166728,66,11343
1167728,67,10496
1168728,68,4239
1169732,69,2621
1170728,70,1069
1171728,71,3892
1172732,72,4381
1173728,73,5510
1174728,74,3553
1175732,75,4622
1176728,76,4529
1177728,77,4179
1178728,78,705
1179728,79,2337
1180728,80,5457
1181732,81,7208
1182736,82,3249
1183732,83,-706
1184732,84,710
1185732,85,5090
1186728,86,11279
1187732,87,10413
1188732,88,5694
1189728,89,602
1190728,90,2712
1191728,91,3236
1192728,92,1949
1193728,93,912
1194728,94,6183
1195728,95,7795
1196728,96,7749
1197728,97,6044
1198728,98,3033
1199728,99,-196
1200728,100,441
1201728,101,1105
1202732,102,4298
1203732,103,5718
1204728,104,7312
1205728,105,6037
1206732,106,4085
1207728,107,5746
1208728,108,5432
1209732,109,1240
1210728,110,1956
1211732,111,1900
1212732,112,5599
1213732,113,8088
1214728,114,8832
1215728,115,6895
1216728,116,1370
1217732,117,-3066
1218728,118,756
1219728,119,2777
1220728,120,6130
1221728,121,8972
1222728,122,7076
1223732,123,5799
1224728,124,4928
1225736,125,2836
1226732,126,1589
1227728,127,1904
1228732,128,4204
1229732,129,3201
1230728,130,2183
1231732,131,5285
1232732,132,8055
1233728,133,6276
1234732,134,2610
1235728,135,3956
1236732,136,4060
1237732,137,2523
1238728,138,3759
1239728,139,2980
1240728,140,5805
1241728,141,7698
1242732,142,5558
1243728,143,3950
1244732,144,2767
1245728,145,1801
1246728,146,1845
1247732,147,3049
1248728,148,4630
1249732,149,5514
1250728,150,4312
1251728,151,3290
1252728,152,5868
1253728,153,7141
1254732,154,5789
1255728,155,5111
1256728,156,1419
1257732,157,-1238
1258728,158,2689
1259732,159,3816
1260732,160,4834
1261732,161,6968
1262728,162,6144
1263728,163,6364
1264732,164,4572
1265732,165,3022
1266728,166,183
1267728,167,3065
1268728,168,5425
1269732,169,5401
1270732,170,665
1271728,171,7745
1272728,172,9981
1273728,173,4877
1274728,174,2281
1275728,175,1805
1276732,176,458
1277732,177,2956
1278732,178,6820
1279732,179,8356
1280728,180,5311
1281728,181,2089
1282728,182,1769
1283728,183,1388
1284732,184,241
1285732,185,4563
1286728,186,8617
1287732,187,10587
1288728,188,8021
1289728,189,4840
1290732,190,-740
1291728,191,-980
1292728,192,-634
1293732,193,2215
1294728,194,5319
1295732,195,6674
1296728,196,7736
1297732,197,9716
1298728,198,9956
1299728,199,4924
1300732,200,-2948
1301728,201,-5105
1302728,202,-1054
1303728,203,5170
1304728,204,7604
1305728,205,8218
1306728,206,10460
1307728,207,9286
1308728,208,3277
1309732,209,-1004
1310732,210,-1092
1311728,211,-253
1312732,212,4324
1313728,213,8608
1314728,214,8903
1315732,215,5842
1316728,216,1953
1317732,217,706
1318732,218,1470
1319728,219,3953
1320732,220,5571
1321728,221,4958
1322732,222,3234
1323728,223,4128
1324732,224,10206
1325732,225,8502
1326728,226,5122
1327732,227,523
1328728,228,-1629
1329728,229,-1796
1330732,230,3666
1331728,231,4553
1332728,232,8831
1333732,233,6915
1334728,234,-258
1335728,235,-2133
1336728,236,2935
1337732,237,5208
1338728,238,5357
1339732,239,4007
1340728,240,7414
1341732,241,9142
1342728,242,5810
1343732,243,1630
1344728,244,-302
1345728,245,1029
1346728,246,4050
1347732,247,3713
1348732,248,5671
1349728,249,7364
1350728,250,7132
1351728,251,2550
1352732,252,637
1353736,253,2806
1354728,254,5650
1355732,255,4061
1356728,256,1655
1357732,257,3816
1358728,258,6618
1359728,259,5858
1360732,260,5480
1361728,261,6116
1362732,262,2089
1363728,263,-1913
1364728,264,5054
1365728,265,8113
1366732,266,8150
1367728,267,6532
1368728,268,3630
1369732,269,153
1370728,270,-418
1371728,271,1438
1372728,272,4714
1373732,273,6313
1374732,274,6658
1375728,275,7898
1376732,276,5273
1377728,277,2307
1378732,278,-639
1379732,279,-1832
1380728,280,1018
1381732,281,5928
1382728,282,12092
1383728,283,11420
1384728,284,7359
1385728,285,2120
1386728,286,-1100
1387732,287,2068
1388728,288,3544
1389728,289,6842
1390732,290,5553
1391732,291,5427
1392728,292,3537
1393728,293,2451
1394732,294,-141
1395732,295,434
1396732,296,6997
1397728,297,8466
1398732,298,9972
1399728,299,6409
1400728,300,4264
1401728,301,1536
1402728,302,993
1403728,303,766
1404732,304,2350
1405728,305,5360
1406728,306,7339
1407728,307,6870
1408732,308,6146
1409728,309,4053
1410732,310,3823
1411728,311,597
1412728,312,2631
1413728,313,1547
1414728,314,5107
1415732,315,5887
1416728,316,3087
1417728,317,3589
1418732,318,11034
1419728,319,8823
1420732,320,3467
1421732,321,-1153
1422728,322,-403
1423732,323,3112
1424732,324,4105
1425728,325,4685
1426728,326,4219
1427732,327,6724
1428728,328,10249
1429732,329,6186
1430728,330,2004
1431728,331,-4752
1432728,332,-2007
1433732,333,4283
1434728,334,12170
1435728,335,11813
1436728,336,8880
1437728,337,3592
1438732,338,1468
1439728,339,-1026
1440728,340,-1579
1441728,341,1370
1442732,342,5005
1443728,343,7125
1444728,344,7865
1445728,345,5886
1446732,346,5769
1447728,347,887
1448728,348,-44
1449732,349,-1387
1450732,350,5097
1451732,351,8202
1452728,352,8652
1453728,353,7338
1454732,354,5391
1455732,355,3412
1456728,356,898
1457728,357,774
1458732,358,4367
1459728,359,5286
1460732,360,5111
1461732,361,4351
1462728,362,1454
1463732,363,1454
1464728,364,5024
1465728,365,5977
1466728,366,2286
1467732,367,2086
1468728,368,5558
1469728,369,9188
1470728,370,8987
1471728,371,6060
1472728,372,2494
1473732,373,-2943
1474728,374,-1278
1475732,375,3976
1476728,376,4716
1477728,377,8038
1478732,378,9403
1479728,379,6715
1480728,380,2214
1481736,381,-1160
1482728,382,-551
1483728,383,2545
1484732,384,7100
1485732,385,8078
1486728,386,8645
1487732,387,7784
1488728,388,4307
1489728,389,-1660
1490728,390,42
