time_ms,rms
515,0.29
1031,0.54
1546,0.78
2062,0.99
2578,1.18
3094,1.3
3610,1.46
4126,1.6
4641,1.7
5157,1.82
5673,1.94
6190,2.01
6706,2.1
7221,2.16
7737,2.25
8253,2.29
8769,2.35
9285,2.41
9800,2.46
10316,2.5
10832,2.54
11348,2.57
11865,2.58
12381,2.59
12896,2.6
13412,2.6
13928,2.62
14444,2.62
14960,2.65
15476,2.67
15992,2.68
16508,2.68
17025,2.67
17540,2.7
18056,2.73
18572,2.73
19088,2.73
19604,2.71
20120,2.75
20636,2.74
21152,2.75
21667,2.76
22183,2.74
22700,2.74
23216,2.72
23732,2.74
24248,2.73
24764,2.7
25279,2.68
25795,2.67
26311,2.67
26827,2.69
27343,2.7
27859,2.69
28375,2.68
28891,2.68
29407,2.67
29923,2.66
30439,2.66
30955,2.68
31471,2.69
31986,2.69
32502,2.7
33018,2.69
33534,2.69
34051,2.71
34567,2.71
35083,2.71
35598,2.7
36114,2.72
36630,2.72
37146,2.72
37662,2.72
38178,2.73
38694,2.73
39209,2.72
39726,2.73
40242,2.74
40758,2.74
41274,2.76
41790,2.74
42305,2.75
42821,2.7
43337,2.7
43853,2.72
44369,2.75
44886,2.75
45402,2.77
45917,2.74
46433,2.78
46949,2.79
47465,2.78
47981,2.83
48497,2.83
49012,2.86
49528,2.86
50044,2.86
50561,2.87
51077,2.88
51593,2.86
52109,2.87
52624,2.88
53140,2.89
53656,2.87
54172,2.87
54688,2.89
55204,2.87
55720,2.86
56237,2.86
56753,2.87
57269,2.87
57784,2.88
58300,2.89
58816,2.9
59332,2.87
59848,2.87
60364,2.86
60879,2.86
61395,2.86
61912,2.87
62428,2.88
62944,2.87
63460,2.88
63976,2.87
64491,2.86
65007,2.87
65523,2.84
66039,2.83
66555,2.83
67072,2.82
67588,2.82
68103,2.81
68619,2.79
69135,2.77
69651,2.75
70167,2.73
70683,2.72
71199,2.73
71714,2.74
72230,2.72
72747,2.72
73263,2.73
73779,2.74
74295,2.77
74811,2.73
75327,2.76
75842,2.76
76358,2.75
76874,2.77
77390,2.8
77906,2.83
78423,2.8
78938,2.79
79454,2.8
79970,2.8
80486,2.8
81002,2.79
81518,2.77
82034,2.76
82549,2.77
83065,2.77
83581,2.79
84098,2.8
84614,2.8
85130,2.78
85646,2.78
86161,2.79
86677,2.78
87193,2.79
87709,2.77
88225,2.77
88741,2.76
89257,2.77
89773,2.79
90289,2.8
90805,2.8
91321,2.81
91837,2.82
92353,2.85
92869,2.82
93385,2.8
93900,2.81
94416,2.81
94932,2.82
95449,2.86
95965,2.84
96481,2.84
96997,2.83
97512,2.82
98028,2.83
98544,2.82
99060,2.83
99576,2.8
100092,2.81
100609,2.8
101125,2.78
101640,2.79
102156,2.8
102672,2.8
103188,2.78
103704,2.77
104220,2.76
104736,2.77
105252,2.76
105768,2.76
106285,2.77
106800,2.76
107316,2.76
107832,2.77
108348,2.75
108864,2.74
109380,2.73
109896,2.74
110412,2.74
110928,2.74
111444,2.74
111961,2.75
112477,2.77
112992,2.75
113508,2.77
114024,2.76
114540,2.78
115056,2.78
115572,2.79
116088,2.82
116604,2.82
117121,2.83
117637,2.83
118152,2.82
118668,2.83
119184,2.83
119700,2.8
120216,2.79
120732,2.79
121248,2.78
121764,2.76
122280,2.76
122797,2.71
123313,2.7
123829,2.71
124345,2.71
124861,2.69
125377,2.66
125892,2.65
126408,2.66
126924,2.68
127440,2.68
127956,2.69
128473,2.71
128989,2.71
129505,2.72
130020,2.72
130536,2.73
131052,2.77
131568,2.77
132084,2.76
132600,2.8
133116,2.82
133633,2.83
134149,2.85
134665,2.86
135181,2.87
135697,2.89
136212,2.88
136728,2.86
137244,2.85
137760,2.85
138276,2.87
138792,2.84
139309,2.84
139825,2.84
140341,2.84
140857,2.85
141373,2.85
141889,2.84
142404,2.84
142920,2.84
143436,2.83
143952,2.82
144468,2.84
144985,2.82
145501,2.82
146017,2.81
146532,2.76
147048,2.75
147564,2.79
148080,2.78
148596,2.79
149112,2.79
149628,2.81
150145,2.82
150661,2.81
151176,2.79
151692,2.79
152208,2.8
152724,2.8
153240,2.79
153756,2.8
154272,2.79
154788,2.78
